Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
5.0,2009.0,30.0,99.0,642.0,801.0,86.0,75.0,76.0,886.0,731.0,5.0,0.0
6.0,1999.0,112.0,227.0,172.0,786.0,90.0,24.0,86.0,644.0,678.0,5.0,7.0
2.0,2008.0,80.0,276.0,172.0,772.0,83.0,46.0,85.0,203.0,277.0,1.0,7.0
10.0,2005.0,117.0,290.0,281.0,769.0,88.0,65.0,76.0,451.0,588.0,4.0,8.0
9.0,2014.0,5.0,281.0,348.0,766.0,83.0,39.0,57.0,1443.0,653.0,4.0,0.0
9.0,2016.0,30.0,66.0,575.0,759.0,85.0,41.0,50.0,398.0,225.0,1.0,7.0
12.0,2010.0,80.0,356.0,235.0,751.0,97.0,87.0,91.0,1854.0,478.0,1.0,10.0
14.0,2008.0,5.0,480.0,188.0,738.0,84.0,84.0,76.0,580.0,742.0,4.0,0.0
14.0,2011.0,30.0,446.0,211.0,732.0,84.0,57.0,74.0,2142.0,213.0,4.0,0.0
7.0,2003.0,30.0,327.0,283.0,720.0,85.0,33.0,86.0,171.0,207.0,1.0,0.0
12.0,2009.0,126.0,348.0,299.0,720.0,49.0,21.0,80.0,110.0,761.0,2.0,7.0
8.0,2011.0,30.0,285.0,289.0,717.0,85.0,38.0,75.0,1761.0,213.0,4.0,0.0
9.0,2015.0,15.0,252.0,327.0,716.0,87.0,58.0,65.0,4228.0,79.0,4.0,4.0
6.0,1998.0,101.0,327.0,222.0,716.0,96.0,15.0,91.0,367.0,455.0,5.0,0.0
12.0,2006.0,80.0,374.0,214.0,715.0,95.0,73.0,90.0,1658.0,477.0,5.0,7.0
6.0,1998.0,101.0,368.0,175.0,713.0,91.0,12.0,89.0,432.0,460.0,1.0,8.0
13.0,2014.0,80.0,315.0,215.0,709.0,88.0,82.0,91.0,1599.0,477.0,1.0,0.0
4.0,2001.0,80.0,441.0,104.0,707.0,92.0,38.0,91.0,568.0,304.0,5.0,9.0
7.0,2004.0,30.0,271.0,302.0,690.0,82.0,39.0,86.0,132.0,209.0,1.0,1.0
7.0,2002.0,30.0,293.0,275.0,683.0,88.0,29.0,85.0,135.0,216.0,5.0,6.0
12.0,2012.0,126.0,405.0,216.0,676.0,74.0,10.0,73.0,28.0,754.0,2.0,7.0
14.0,2008.0,71.0,415.0,190.0,675.0,93.0,90.0,77.0,2739.0,240.0,4.0,0.0
8.0,2011.0,101.0,277.0,275.0,674.0,92.0,97.0,83.0,3712.0,460.0,5.0,0.0
8.0,2007.0,5.0,311.0,225.0,668.0,94.0,44.0,84.0,993.0,345.0,4.0,4.0
8.0,2009.0,101.0,327.0,220.0,666.0,96.0,105.0,88.0,5187.0,460.0,5.0,8.0
2.0,2005.0,80.0,166.0,275.0,662.0,74.0,45.0,74.0,27.0,477.0,1.0,7.0
8.0,2010.0,117.0,279.0,252.0,649.0,95.0,73.0,88.0,2456.0,591.0,4.0,0.0
8.0,2013.0,30.0,78.0,424.0,647.0,86.0,37.0,43.0,576.0,209.0,1.0,7.0
8.0,2012.0,126.0,264.0,252.0,645.0,85.0,41.0,69.0,1307.0,754.0,4.0,8.0
12.0,2010.0,80.0,317.0,179.0,644.0,87.0,77.0,86.0,368.0,582.0,1.0,0.0
15.0,2001.0,71.0,498.0,130.0,643.0,97.0,68.0,86.0,1283.0,120.0,4.0,4.0
8.0,2011.0,15.0,254.0,260.0,641.0,92.0,16.0,64.0,2527.0,79.0,4.0,7.0
3.0,2004.0,80.0,257.0,158.0,641.0,76.0,28.0,90.0,222.0,277.0,1.0,5.0
7.0,2002.0,101.0,364.0,120.0,640.0,85.0,46.0,88.0,597.0,678.0,1.0,0.0
14.0,2009.0,71.0,434.0,134.0,634.0,83.0,94.0,71.0,1163.0,121.0,4.0,8.0
14.0,2010.0,117.0,370.0,195.0,632.0,95.0,96.0,90.0,2316.0,591.0,4.0,3.0
4.0,2002.0,80.0,401.0,126.0,631.0,92.0,61.0,86.0,439.0,477.0,1.0,7.0
5.0,2004.0,5.0,8.0,621.0,629.0,93.0,57.0,73.0,2182.0,99.0,5.0,0.0
6.0,1999.0,36.0,311.0,280.0,627.0,87.0,22.0,81.0,78.0,577.0,5.0,10.0
14.0,2011.0,71.0,405.0,159.0,621.0,91.0,96.0,78.0,1504.0,240.0,4.0,0.0
14.0,2010.0,71.0,392.0,173.0,619.0,73.0,51.0,74.0,95.0,557.0,2.0,0.0
14.0,2006.0,71.0,354.0,188.0,609.0,94.0,88.0,83.0,2295.0,240.0,4.0,10.0
9.0,2014.0,30.0,80.0,433.0,608.0,82.0,47.0,57.0,988.0,222.0,1.0,3.0
7.0,2001.0,61.0,245.0,200.0,605.0,96.0,42.0,87.0,1026.0,371.0,4.0,8.0
6.0,1998.0,61.0,318.0,183.0,603.0,94.0,20.0,94.0,918.0,371.0,4.0,0.0
8.0,2008.0,61.0,263.0,171.0,599.0,94.0,82.0,87.0,3558.0,380.0,4.0,10.0
7.0,2006.0,110.0,188.0,0.0,595.0,92.0,64.0,76.0,972.0,673.0,5.0,11.0
8.0,2013.0,103.0,241.0,218.0,587.0,95.0,98.0,91.0,8003.0,460.0,4.0,1.0
8.0,2008.0,101.0,280.0,198.0,582.0,95.0,85.0,68.0,5311.0,608.0,1.0,0.0
6.0,1998.0,132.0,188.0,147.0,582.0,89.0,13.0,92.0,364.0,129.0,4.0,6.0
2.0,2009.0,80.0,63.0,67.0,578.0,87.0,65.0,88.0,197.0,395.0,2.0,0.0
6.0,1996.0,101.0,225.0,189.0,574.0,89.0,8.0,89.0,102.0,455.0,5.0,0.0
9.0,2014.0,5.0,249.0,206.0,564.0,76.0,95.0,61.0,5380.0,121.0,5.0,0.0
12.0,2007.0,63.0,357.0,155.0,564.0,80.0,17.0,89.0,62.0,740.0,2.0,10.0
2.0,2006.0,1.0,307.0,191.0,563.0,67.0,35.0,72.0,21.0,702.0,1.0,0.0
8.0,2009.0,126.0,254.0,193.0,555.0,91.0,70.0,86.0,1202.0,760.0,4.0,0.0
14.0,2007.0,126.0,328.0,164.0,554.0,81.0,77.0,77.0,1074.0,760.0,4.0,0.0
14.0,2009.0,71.0,299.0,190.0,549.0,92.0,90.0,80.0,516.0,749.0,1.0,3.0
3.0,2001.0,80.0,314.0,124.0,549.0,84.0,19.0,78.0,41.0,477.0,1.0,0.0
10.0,2008.0,19.0,47.0,55.0,548.0,81.0,48.0,87.0,124.0,129.0,5.0,6.0
